Won,Target,# Guesses,Guess 1,Guess 2,Guess 3,Guess 4,Guess 5,Guess 6,Guess 7,Guess 8,Guess 9,Guess 10
TRUE,jarvy,1,jarvy,,,,,,,,,
TRUE,orgue,2,bathe,orgue,,,,,,,,
TRUE,lehua,2,tegua,lehua,,,,,,,,
TRUE,corta,2,surat,corta,,,,,,,,
TRUE,jarry,2,quite,jarry,,,,,,,,
TRUE,noire,3,nobis,notre,noire,,,,,,,
TRUE,slush,3,ketch,flush,slush,,,,,,,
TRUE,anjan,3,curie,annal,anjan,,,,,,,
TRUE,teleg,3,spang,colog,teleg,,,,,,,
TRUE,flect,3,powan,curch,flect,,,,,,,
TRUE,parol,3,panga,padou,parol,,,,,,,
TRUE,dwell,3,dures,dedal,dwell,,,,,,,
TRUE,wiyot,3,becky,zayat,wiyot,,,,,,,
TRUE,tutin,3,wrast,logie,tutin,,,,,,,
TRUE,tatie,3,redig,titis,tatie,,,,,,,
TRUE,comas,3,heaps,somas,comas,,,,,,,
TRUE,ungot,3,truth,gigot,ungot,,,,,,,
TRUE,sited,3,rears,kited,sited,,,,,,,
TRUE,alloo,3,angor,achoo,alloo,,,,,,,
TRUE,crumb,3,alawi,proms,crumb,,,,,,,
TRUE,vimpa,3,tumid,vamos,vimpa,,,,,,,
TRUE,picky,3,pinus,picry,picky,,,,,,,
TRUE,vefry,3,ablet,riffi,vefry,,,,,,,
TRUE,grego,3,fraik,grece,grego,,,,,,,
TRUE,pudic,3,fames,tucky,pudic,,,,,,,
TRUE,toric,3,choil,staid,toric,,,,,,,
TRUE,contg,3,pacha,reneg,contg,,,,,,,
TRUE,nitta,3,orris,piety,nitta,,,,,,,
TRUE,hermi,3,plait,fermi,hermi,,,,,,,
TRUE,ponja,3,bints,maneh,ponja,,,,,,,
TRUE,spoor,3,seavy,skimo,spoor,,,,,,,
TRUE,decry,3,zoner,rearm,decry,,,,,,,
TRUE,steam,3,atnah,stram,steam,,,,,,,
TRUE,douar,3,facie,tubar,douar,,,,,,,
TRUE,howes,3,herms,hones,howes,,,,,,,
TRUE,quott,3,arith,mufty,quott,,,,,,,
TRUE,golgi,3,milan,gulps,golgi,,,,,,,
TRUE,enrol,3,cuban,inrol,enrol,,,,,,,
TRUE,could,3,grush,would,could,,,,,,,
TRUE,chips,3,twins,apios,chips,,,,,,,
TRUE,clags,3,chaja,clams,clags,,,,,,,
TRUE,sevum,3,ritzy,bevel,sevum,,,,,,,
TRUE,stink,3,sauna,sting,stink,,,,,,,
TRUE,dilly,3,upsup,dimmy,dilly,,,,,,,
TRUE,mynas,3,nudes,linos,mynas,,,,,,,
TRUE,clour,3,slour,flour,clour,,,,,,,
TRUE,puppy,3,chevy,tippy,puppy,,,,,,,
TRUE,janus,3,pinup,manul,janus,,,,,,,
TRUE,flurt,3,dildo,cumar,flurt,,,,,,,
TRUE,caged,3,hades,cameo,caged,,,,,,,
TRUE,bawke,3,bocks,bruke,bawke,,,,,,,
TRUE,orlos,3,urine,craps,orlos,,,,,,,
TRUE,glynn,3,glans,glenn,glynn,,,,,,,
TRUE,lotus,3,oside,vogul,lotus,,,,,,,
TRUE,hylic,4,kyars,eyoty,hying,hylic,,,,,,
TRUE,evite,4,nicer,howff,evase,evite,,,,,,
TRUE,sidth,4,crape,dilos,fisty,sidth,,,,,,
TRUE,morro,4,pride,scruf,karma,morro,,,,,,
TRUE,bored,4,bredi,barks,beryx,bored,,,,,,
TRUE,nutsy,4,brink,hetty,outly,nutsy,,,,,,
TRUE,sidth,4,lobes,spina,sudic,sidth,,,,,,
TRUE,aweto,4,cruth,motto,desto,aweto,,,,,,
TRUE,looed,4,tembe,lieus,lawed,looed,,,,,,
TRUE,hakka,4,aahed,kanap,casky,hakka,,,,,,
TRUE,hanky,4,minae,bonks,wanky,hanky,,,,,,
TRUE,atopy,4,majas,ankou,azofy,atopy,,,,,,
TRUE,taggy,4,score,manga,tawgi,taggy,,,,,,
TRUE,hilus,4,apsis,routs,dinks,hilus,,,,,,
TRUE,blenk,4,unlid,shaft,owner,blenk,,,,,,
TRUE,gleet,4,aloma,cleft,sleet,gleet,,,,,,
TRUE,micah,4,media,macks,mochy,micah,,,,,,
